Record_id,CountyFips,StateName,CountyName,ReportYear,Value,MeasureType
1,40143,Oklahoma,Tulsa,1999,0,1
2,39151,Ohio,Stark,2013,0,1
3,35025,New Mexico,Lea,2002,0,1
4,48037,Texas,Bowie,2003,0,1
5,4003,Arizona,Cochise,2007,0,1
6,17115,Illinois,Macon,2008,0,1
7,48139,Texas,Ellis,2004,0,1
8,12071,Florida,Lee,2008,0,1
9,1027,Alabama,Clay,2009,0,1
10,19193,Iowa,Woodbury,1999,0,1
11,19113,Iowa,Linn,2012,0,1
12,19063,Iowa,Emmet,2003,0,1
13,39023,Ohio,Clark,2012,0,1
14,19169,Iowa,Story,2001,0,1
15,48375,Texas,Potter,2002,0,1
16,48375,Texas,Potter,2005,0,1
17,4003,Arizona,Cochise,2001,0,1
18,19177,Iowa,Van Buren,2003,0,1
19,26021,Michigan,Berrien,2005,0.847457627,1
20,27145,Minnesota,Stearns,2002,0.892857143,1
21,8101,Colorado,Pueblo,2000,0,1
22,21093,Kentucky,Hardin,2011,0,1
23,17115,Illinois,Macon,2013,0,1
24,29039,Missouri,Cedar,2006,0,1
25,48303,Texas,Lubbock,2004,0,1
26,53011,Washington,Clark,2013,0,1
27,12095,Florida,Orange,1999,0,1
28,46011,South Dakota,Brookings,2008,0.961538462,1
29,18141,Indiana,St. Joseph,1999,2.325581395,1
30,39095,Ohio,Lucas,2006,0,1
31,39057,Ohio,Greene,2011,0,1
32,18037,Indiana,Dubois,2013,0,1
33,13067,Georgia,Cobb,2011,0,1
34,55111,Wisconsin,Sauk,2013,0,1
35,1033,Alabama,Colbert,2013,0,1
36,12071,Florida,Lee,2001,0,1
37,48139,Texas,Ellis,2010,0,1
38,41065,Oregon,Wasco,2005,0,1
39,47045,Tennessee,Dyer,1999,0,1
40,23017,Maine,Oxford,2007,0,1
41,36031,New York,Essex,1999,0,1
42,54107,West Virginia,Wood,2011,0,1
43,19017,Iowa,Bremer,2007,0,1
44,47105,Tennessee,Loudon,2004,0.877192982,1
45,31079,Nebraska,Hall,2012,0,1
46,49045,Utah,Tooele,2012,0,1
47,39087,Ohio,Lawrence,2004,0,1
48,4019,Arizona,Pima,2012,0,1
49,1103,Alabama,Morgan,2011,0,1
50,8041,Colorado,El Paso,2012,0,1
51,16045,Idaho,Gem,2006,0,1
52,51650,Virginia,Hampton,2004,0,1
53,41059,Oregon,Umatilla,2012,0,1
54,12017,Florida,Citrus,2012,0,1
55,47165,Tennessee,Sumner,2000,1.62601626,1
56,49057,Utah,Weber,2005,1.639344262,1
57,8029,Colorado,Delta,2001,0,1
58,37065,North Carolina,Edgecombe,2002,1.694915254,1
59,18019,Indiana,Clark,2013,0,1
60,19103,Iowa,Johnson,2012,0,1
61,28087,Mississippi,Lowndes,2009,0,1
62,5145,Arkansas,White,2007,0,1
63,23011,Maine,Kennebec,2011,0,1
64,48355,Texas,Nueces,2003,0,1
65,39135,Ohio,Preble,2011,0,1
66,48203,Texas,Harrison,2006,0,1
67,8069,Colorado,Larimer,2004,0,1
68,8077,Colorado,Mesa,2006,0,1
69,56039,Wyoming,Teton,2004,0,1
70,48139,Texas,Ellis,2013,0,1
71,22121,Louisiana,West Baton Rouge,2003,0.302114804,1
72,51710,Virginia,Norfolk,2009,0,1
73,21183,Kentucky,Ohio,2006,0,1
74,8001,Colorado,Adams,2012,0,1
75,42101,Pennsylvania,Philadelphia,2000,4.361370717,1
76,29510,Missouri,St. Louis City,2000,2.191780822,1
77,53001,Washington,Adams,2002,0,1
78,54033,West Virginia,Harrison,2010,0.900900901,1
79,41025,Oregon,Harney,2009,0,1
80,39133,Ohio,Portage,2006,0,1
81,5003,Arkansas,Ashley,2012,0,1
82,45003,South Carolina,Aiken,2005,1.754385965,1
